Reduction order,Eigenvalue reassignment,Error,Runtime
1.0,2.0,1.0,0.11161947250366211
2.0,2.0,1.0,0.10617613792419434
3.0,2.0,1.0,0.10353994369506836
4.0,2.0,1.0,0.10147523880004883
5.0,2.0,0.9999007418213817,0.10240602493286133
6.0,0.0,0.9999007418213824,0.10350584983825684
7.0,2.0,0.999900741821382,0.16555523872375488
8.0,2.0,0.999900741821385,0.1320812702178955
9.0,2.0,0.999900741821446,0.12613892555236816
10.0,2.0,0.9999007418217016,0.13496875762939453
11.0,2.0,0.9999007418216755,0.14339375495910645
12.0,2.0,0.9999007418394048,0.14219284057617188
13.0,2.0,0.999900741820616,0.14214491844177246
14.0,2.0,0.9999007415655845,0.14739584922790527
15.0,2.0,0.9999007198570377,0.14493942260742188
16.0,2.0,0.9999006249306687,0.2010021209716797
17.0,2.0,0.9998938029725434,0.18187332153320312
18.0,2.0,0.9999038317991151,0.19537949562072754
19.0,2.0,0.999838773033959,0.19597172737121582
20.0,2.0,0.9999048561037753,0.2025442123413086
21.0,2.0,0.9999040908210365,0.2114095687866211
22.0,0.0,1.000028860197628,0.23723936080932617
23.0,2.0,0.9990649542111878,0.22991299629211426
24.0,2.0,1.0005956732194836,0.28942322731018066
25.0,2.0,1.0023734100573387,0.2669970989227295
26.0,2.0,0.9998963374136737,0.2908143997192383
27.0,2.0,1.0008539549387268,0.2594940662384033
28.0,2.0,1.0072751805491997,0.2522408962249756
29.0,2.0,8.388057124952667,0.259535551071167
30.0,2.0,12.211664200335552,0.2696061134338379
31.0,2.0,15.836528817865736,0.2659738063812256
32.0,2.0,15.916385697442733,0.2823636531829834
33.0,2.0,3.337606811996828,0.28559207916259766
34.0,2.0,1.8166384237287372,0.2937502861022949
35.0,2.0,,0.28531551361083984
36.0,2.0,2.6240004737634335,0.30042600631713867
37.0,2.0,5.3682014348606755,0.3047020435333252
38.0,2.0,11.831197217985933,0.3206338882446289
39.0,2.0,23.862857013019383,0.31474924087524414
40.0,2.0,,0.32558584213256836
41.0,2.0,,0.33308959007263184
42.0,2.0,,0.35826778411865234
43.0,2.0,,0.3506617546081543
44.0,2.0,278.87977647897316,0.3592867851257324
45.0,2.0,131.26125531679992,0.37637877464294434
46.0,2.0,,0.37574148178100586
47.0,2.0,,0.37786030769348145
48.0,2.0,,0.4111945629119873
49.0,2.0,15.159562388308876,0.4265763759613037
50.0,2.0,,0.415708065032959
51.0,2.0,82.6431733148474,0.3732573986053467
52.0,2.0,inf,0.42841124534606934
53.0,2.0,18.188288558990852,0.4242427349090576
54.0,2.0,200.80373363771116,0.42839717864990234
55.0,2.0,,0.40838098526000977
56.0,2.0,,0.4518001079559326
57.0,2.0,,0.47374701499938965
